SetNo,GameNo,PointNumber,ServerGamesWon,ReceiverGamesWon,ServerScore,ReceiverScore,ServerPointsWon,ReceiverPointsWon,ServerMomentum,ReceiverMomentum,ServerSetsWon,ReceiverSetsWon,GameDiff,SetDiff,PointDiff,MomentumDiff,IsBreakPoint,SetPressure,IsSecondServe,ServerWon
2,7,117,4,2,2,1,56,60,85,95,0,1,2,-1,-4,-10,0,2,1,1
4,6,202,0,5,1,3,81,120,60,225,1,2,-5,-1,-39,-165,1,1,1,1
1,7,41,2,4,1,1,19,21,22,40,0,0,-2,0,-2,-18,0,2,1,0
2,8,86,4,3,1,1,52,33,125,40,1,0,1,1,19,85,0,2,0,1
2,7,85,3,3,1,0,46,38,96,46,1,0,0,1,8,50,0,3,1,1
4,4,217,2,1,0,0,113,103,163,92,2,1,1,1,10,71,0,4,0,1
1,2,14,1,0,4,3,8,5,13,1,0,0,1,0,3,12,0,5,1,1
4,11,266,5,5,0,0,128,137,151,208,1,2,0,-1,-9,-57,0,1,0,1
2,4,87,1,2,2,0,44,42,66,56,1,0,-1,1,2,10,0,4,1,0
1,6,36,2,3,1,1,15,20,19,37,0,0,-1,0,-5,-18,0,3,0,0
3,4,158,1,2,3,3,89,68,180,93,2,0,-1,2,21,87,0,4,1,1
2,1,54,0,0,0,3,21,32,13,62,0,1,0,-1,-11,-49,1,6,0,1
2,13,138,6,6,4,1,73,64,144,97,1,0,0,1,9,47,0,0,0,0
1,8,46,4,3,1,0,23,22,49,33,0,0,1,0,1,16,0,2,1,0
4,8,242,3,4,2,0,117,124,218,233,1,2,-1,-1,-7,-15,0,2,0,0
2,3,127,0,2,0,1,61,65,65,80,1,0,-2,1,-4,-15,0,4,0,0
1,5,25,2,2,1,3,11,13,20,30,0,0,0,0,-2,-10,1,4,1,1
5,11,289,5,5,1,2,142,146,206,235,2,2,0,0,-4,-29,0,1,0,1
1,1,5,0,0,3,1,3,1,5,2,0,0,0,0,2,3,0,6,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,9,54,5,3,3,0,31,22,40,6,0,0,2,0,9,34,0,1,0,1
3,1,181,0,0,1,1,85,95,95,163,0,2,0,-2,-10,-68,0,6,0,0
3,1,119,0,0,4,3,56,62,77,119,0,2,0,-2,-6,-42,0,6,0,0
1,3,17,0,2,3,3,5,11,3,30,0,0,-2,0,-6,-27,0,4,0,0
1,2,6,0,1,0,1,0,5,1,15,0,0,-1,0,-5,-14,0,5,1,0
2,2,56,0,1,2,1,22,33,24,69,0,1,-1,-1,-11,-45,0,5,1,0
1,1,2,0,0,0,1,0,1,0,3,0,0,0,0,-1,-3,0,6,0,1
3,3,115,2,0,1,1,63,51,102,43,1,1,2,0,12,59,0,4,1,1
2,3,67,0,2,3,0,28,38,17,71,0,1,-2,-1,-10,-54,0,4,0,1
2,6,90,4,1,2,3,50,39,83,13,1,0,3,1,11,70,1,2,1,1
2,4,96,3,0,1,1,53,42,73,22,1,0,3,1,11,51,0,3,1,0
2,7,101,3,3,0,3,41,59,21,78,0,1,0,-1,-18,-57,1,3,1,0
2,8,124,3,4,1,1,56,67,67,104,0,1,-1,-1,-11,-37,0,2,1,0
2,11,150,5,5,3,3,79,70,113,59,1,0,0,1,9,54,0,1,0,1
1,3,16,1,1,0,1,7,8,9,9,0,0,0,0,-1,0,0,5,0,1
2,6,99,2,3,0,0,48,50,62,47,1,0,-1,1,-2,15,0,3,1,0
1,2,12,0,1,2,3,4,7,3,9,0,0,-1,0,-3,-6,1,5,0,0
1,3,16,1,1,2,0,8,7,12,11,0,0,0,0,1,1,0,5,0,1
5,10,294,5,4,2,0,149,144,189,181,2,2,1,0,5,8,0,1,0,1
3,1,129,0,0,3,2,67,61,152,109,2,0,0,2,6,43,0,6,0,1
4,1,175,0,0,2,0,98,76,165,76,2,1,0,1,22,89,0,6,0,1
3,6,138,1,4,0,0,52,85,13,173,0,2,-3,-2,-33,-160,0,2,1,0
4,1,176,0,0,1,2,82,93,98,139,2,1,0,1,-11,-41,0,6,0,0
3,8,199,4,3,3,2,105,93,127,87,1,1,1,0,12,40,0,2,1,1
4,8,220,3,4,1,0,115,104,183,133,2,1,-1,1,11,50,0,2,1,1
2,9,117,3,5,1,3,51,65,60,127,0,1,-2,-1,-14,-67,1,1,0,1
2,8,100,4,3,3,1,57,42,93,31,1,0,1,1,15,62,0,2,0,0
2,7,91,1,5,2,1,38,52,12,89,0,1,-4,-1,-14,-77,0,1,0,0
1,4,22,1,2,2,1,10,11,10,20,0,0,-1,0,-1,-10,0,4,0,1
3,7,185,2,4,1,2,90,94,104,109,1,1,-2,0,-4,-5,0,2,1,0
2,5,100,3,1,0,0,56,43,80,14,1,0,2,1,13,66,0,3,1,1
2,7,115,3,3,3,1,56,58,49,59,0,1,0,-1,-2,-10,0,3,0,1
2,8,120,3,4,3,2,62,57,109,74,1,0,-1,1,5,35,0,2,1,1
2,2,81,0,1,3,3,35,45,16,66,0,1,-1,-1,-10,-50,0,5,0,1
1,8,47,4,3,3,3,24,22,34,31,0,0,1,0,2,3,0,2,1,1
1,5,42,1,3,3,4,17,24,19,46,0,0,-2,0,-7,-27,1,3,1,0
2,3,84,1,1,1,1,45,38,59,15,1,0,0,1,7,44,0,5,1,1
2,3,71,1,1,3,3,34,36,37,72,0,1,0,-1,-2,-35,0,5,1,0
1,4,21,2,1,1,2,11,9,24,17,0,0,1,0,2,7,0,4,0,1
2,2,54,0,1,4,3,36,17,74,15,1,0,-1,1,19,59,0,5,0,1
4,4,200,2,1,2,0,104,95,161,111,2,1,1,1,9,50,0,4,1,1
2,6,88,2,3,3,3,37,50,25,90,0,1,-1,-1,-13,-65,0,3,0,0
2,2,64,0,1,3,0,32,31,71,42,1,0,-1,1,1,29,0,5,1,0
1,6,30,3,2,2,1,17,12,36,14,0,0,1,0,5,22,0,3,1,0
2,4,93,1,2,0,0,50,42,76,38,1,0,-1,1,8,38,0,4,1,1
2,7,111,3,3,2,2,50,60,23,65,0,1,0,-1,-10,-42,0,3,1,0
2,5,119,4,0,3,0,65,53,109,50,1,0,4,1,12,59,0,2,1,1
2,7,127,1,5,2,3,56,70,48,118,0,1,-4,-1,-14,-70,1,1,1,0
3,7,213,4,2,0,0,113,99,185,123,1,1,2,0,14,62,0,2,1,1
5,5,296,1,3,0,0,139,156,201,307,2,2,-2,0,-17,-106,0,3,0,0
1,13,64,6,6,3,1,31,32,38,45,0,0,0,0,-1,-7,0,0,0,1
2,12,117,5,6,3,0,54,62,57,112,0,1,-1,-1,-8,-55,0,0,0,1
2,1,93,0,0,2,1,47,45,67,64,0,1,0,-1,2,3,0,6,1,0
1,3,12,2,0,0,0,8,3,20,1,0,0,2,0,5,19,0,4,1,1
1,1,6,0,0,3,2,3,2,8,3,0,0,0,0,1,5,0,6,0,0
3,1,148,0,0,3,2,79,68,152,94,2,0,0,2,11,58,0,6,1,1
1,2,11,0,1,1,1,4,6,1,10,0,0,-1,0,-2,-9,0,5,0,0
4,9,292,5,3,1,0,155,136,222,142,2,1,2,1,19,80,0,1,1,1
2,8,118,4,3,3,4,62,55,82,41,1,0,1,1,7,41,1,2,1,0
1,3,18,1,1,2,1,9,8,14,6,0,0,0,0,1,8,0,5,0,1
2,5,87,2,2,3,3,50,36,74,22,1,0,0,1,14,52,0,4,1,0
3,3,181,2,0,3,4,85,95,84,134,0,2,2,-2,-10,-50,1,4,0,1
3,6,148,2,3,2,2,86,61,161,34,2,0,-1,2,25,127,0,3,1,0
2,3,90,1,1,0,0,49,40,70,37,1,0,0,1,9,33,0,5,0,1
1,9,46,3,5,0,0,21,24,23,42,0,0,-2,0,-3,-19,0,1,0,1
2,3,104,0,2,2,1,49,54,55,69,1,0,-2,1,-5,-14,0,4,0,0
2,5,116,4,0,0,0,62,53,98,50,1,0,4,1,9,48,0,2,0,1
2,8,137,3,4,3,3,66,70,101,101,1,0,-1,1,-4,0,0,2,0,1
4,13,273,6,6,3,6,134,138,186,199,1,2,0,-1,-4,-13,1,0,0,0
1,9,59,5,3,3,4,30,28,37,28,0,0,2,0,2,9,1,1,0,1
1,3,18,1,1,3,2,9,8,13,11,0,0,0,0,1,2,0,5,1,1
1,11,90,5,5,0,0,45,44,48,45,0,0,0,0,1,3,0,1,1,1
3,3,152,1,1,4,3,73,78,89,129,0,2,0,-2,-5,-40,0,5,1,0
2,3,66,0,2,0,1,25,40,21,90,0,1,-2,-1,-15,-69,0,4,1,0
1,8,44,4,3,0,0,22,21,44,26,0,0,1,0,1,18,0,2,1,0
3,1,147,0,0,0,2,71,75,90,115,1,1,0,0,-4,-25,0,6,0,1
2,3,90,1,1,4,3,40,49,34,77,0,1,0,-1,-9,-43,0,5,0,0
1,2,7,0,1,0,0,2,4,1,6,0,0,-1,0,-2,-5,0,5,1,0
4,10,234,4,5,2,1,109,124,182,250,1,2,-1,-1,-15,-68,0,1,0,1
1,7,41,2,4,1,2,17,23,12,34,0,0,-2,0,-6,-22,0,2,1,1
1,9,55,4,4,0,1,26,28,33,42,0,0,0,0,-2,-9,0,2,0,0
1,5,25,2,2,1,1,12,12,20,15,0,0,0,0,0,5,0,4,0,1
2,10,136,5,4,0,0,71,64,103,63,1,0,1,1,7,40,0,1,1,0
2,8,94,3,4,3,0,43,50,41,91,0,1,-1,-1,-7,-50,0,2,1,0
1,6,36,3,2,1,1,18,17,30,25,0,0,1,0,1,5,0,3,0,1
1,8,38,3,4,1,1,14,23,14,45,0,0,-1,0,-9,-31,0,2,1,0
1,5,31,3,1,2,2,17,13,30,11,0,0,2,0,4,19,0,3,1,0
3,5,125,2,2,4,3,48,76,20,146,0,2,0,-2,-28,-126,0,4,1,1
2,2,99,0,1,2,1,50,48,93,68,1,0,-1,1,2,25,0,5,0,1
2,9,86,3,5,1,0,34,51,30,75,0,1,-2,-1,-17,-45,0,1,0,1
3,4,138,1,2,3,2,64,73,56,53,1,1,-1,0,-9,3,0,4,1,1
2,4,65,1,2,3,0,38,26,72,28,1,0,-1,1,12,44,0,4,0,1
2,1,49,0,0,3,3,17,31,12,78,0,1,0,-1,-14,-66,0,6,0,1
1,8,45,4,3,3,0,24,20,37,10,0,0,1,0,4,27,0,2,0,0
4,2,198,1,0,0,1,104,93,151,76,2,1,1,1,11,75,0,5,0,1
3,4,123,1,2,3,2,50,72,41,148,0,2,-1,-2,-22,-107,0,4,0,1
1,9,43,3,5,1,1,18,24,20,32,0,0,-2,0,-6,-12,0,1,1,1
2,4,65,2,1,1,0,40,24,62,1,1,0,1,1,16,61,0,4,1,0
1,9,43,3,5,0,1,19,23,31,51,0,0,-2,0,-4,-20,0,1,1,0
3,8,159,2,5,2,2,74,84,110,133,1,1,-3,0,-10,-23,0,1,0,1
1,10,58,5,4,1,0,28,29,59,48,0,0,1,0,-1,11,0,1,1,1
1,4,31,0,3,3,3,12,18,17,41,0,0,-3,0,-6,-24,0,3,0,0
3,8,180,4,3,2,2,98,81,148,47,2,0,1,2,17,101,0,2,1,0
2,2,105,1,0,1,0,53,51,64,65,0,1,1,-1,2,-1,0,5,1,1
2,6,89,4,1,1,0,50,38,95,27,1,0,3,1,12,68,0,2,1,0
2,3,97,1,1,1,3,45,51,38,69,0,1,0,-1,-6,-31,1,5,1,1
1,2,9,0,1,1,2,2,6,3,13,0,0,-1,0,-4,-10,0,5,0,1
2,3,69,1,1,3,3,33,35,37,71,0,1,0,-1,-2,-34,0,5,1,0
2,4,110,1,2,2,2,51,58,59,85,0,1,-1,-1,-7,-26,0,4,0,1
3,2,143,0,1,2,2,74,68,124,92,2,0,-1,2,6,32,0,5,1,1
2,8,126,2,5,2,3,58,67,30,78,0,1,-3,-1,-9,-48,1,1,0,1
1,4,20,1,2,0,0,8,11,11,23,0,0,-1,0,-3,-12,0,4,0,1
1,10,53,5,4,0,0,25,27,23,35,0,0,1,0,-2,-12,0,1,0,0
4,3,215,0,2,2,0,101,113,85,164,1,2,-2,-1,-12,-79,0,4,1,1
3,3,142,1,1,0,0,61,80,90,180,0,2,0,-2,-19,-90,0,5,1,0
3,5,141,2,2,0,2,64,76,63,99,1,1,0,0,-12,-36,0,4,1,1
1,4,27,1,2,0,0,13,13,16,16,0,0,-1,0,0,0,0,4,1,1
1,3,14,1,1,3,0,8,5,19,7,0,0,0,0,3,12,0,5,0,0
2,1,88,0,0,2,2,44,43,30,49,0,1,0,-1,1,-19,0,6,1,0
2,1,100,0,0,1,0,48,51,2,21,0,1,0,-1,-3,-19,0,6,1,1
2,4,81,1,2,1,0,45,35,69,28,1,0,-1,1,10,41,0,4,0,0
1,11,71,5,5,2,1,37,33,57,39,0,0,0,0,4,18,0,1,0,0
1,4,24,3,0,2,2,15,8,27,4,0,0,3,0,7,23,0,3,0,0
1,3,14,1,1,1,0,6,7,3,7,0,0,0,0,-1,-4,0,5,1,1
4,1,206,0,0,2,1,107,98,202,182,2,1,0,1,9,20,0,6,1,0
5,1,263,0,0,0,1,127,135,195,227,2,2,0,0,-8,-32,0,6,0,1
3,8,163,4,3,1,1,82,80,99,85,1,1,1,0,2,14,0,2,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
5,3,269,1,1,0,0,140,128,211,155,2,2,0,0,12,56,0,5,1,1
3,9,178,5,3,0,0,95,82,123,58,3,0,2,3,13,65,0,1,0,0
2,5,79,1,3,4,3,32,46,34,105,0,1,-2,-1,-14,-71,0,3,1,1
4,6,210,2,3,4,3,103,106,145,162,1,2,-1,-1,-3,-17,0,3,0,1
1,5,27,4,0,1,0,19,7,39,1,0,0,4,0,12,38,0,2,0,1
1,3,18,0,2,3,1,7,10,8,15,0,0,-2,0,-3,-7,0,4,0,1
3,6,171,1,4,1,0,82,88,97,119,1,1,-3,0,-6,-22,0,2,1,1
1,13,91,6,6,4,4,46,44,60,61,0,0,0,0,2,-1,0,0,0,0
4,7,214,2,4,1,1,118,95,215,127,2,1,-2,1,23,88,0,2,0,1
4,2,214,1,0,1,1,112,101,121,59,2,1,1,1,11,62,0,5,0,1
2,7,70,4,2,0,1,44,25,77,11,1,0,2,1,19,66,0,2,1,1
2,2,50,0,1,1,1,29,20,51,19,1,0,-1,1,9,32,0,5,0,0
2,1,63,4,6,0,0,28,34,18,55,0,1,-2,-1,-6,-37,0,0,1,0
2,3,73,1,1,4,3,30,42,14,75,0,1,0,-1,-12,-61,0,5,0,1
2,6,65,5,0,0,0,48,16,102,1,1,0,5,1,32,101,0,1,0,0
2,9,104,4,4,2,0,55,48,95,53,1,0,0,1,7,42,0,2,1,1
2,2,47,0,1,0,1,29,17,68,18,1,0,-1,1,12,50,0,5,0,1
3,2,106,0,1,0,1,47,58,51,94,1,1,-1,0,-11,-43,0,5,0,1
1,9,54,4,4,0,0,27,26,43,35,0,0,0,0,1,8,0,2,1,1
1,13,98,6,6,6,4,49,48,47,47,0,0,0,0,1,0,0,0,0,1
4,7,215,2,4,2,1,119,95,218,127,2,1,-2,1,24,91,0,2,0,1
1,8,52,4,3,3,1,27,24,22,12,0,0,1,0,3,10,0,2,1,1
3,8,221,5,2,1,0,110,110,153,133,1,1,3,0,0,20,0,1,1,1
1,5,24,3,1,3,2,15,8,37,15,0,0,2,0,7,22,0,3,0,0
2,6,72,4,1,1,0,48,23,95,1,1,0,3,1,25,94,0,2,1,0
1,9,57,4,4,1,2,29,27,41,43,0,0,0,0,2,-2,0,2,0,1
2,2,52,0,1,0,0,15,36,3,80,0,1,-1,-1,-21,-77,0,5,1,0
1,5,32,2,2,3,4,14,17,2,18,0,0,0,0,-3,-16,1,4,0,1
2,2,67,0,1,3,2,31,35,24,69,0,1,-1,-1,-4,-45,0,5,1,0
2,5,80,2,2,1,3,31,48,14,83,0,1,0,-1,-17,-69,1,4,1,0
1,12,61,5,6,0,0,28,32,48,63,0,0,-1,0,-4,-15,0,0,0,1
4,2,195,1,0,2,1,89,105,94,151,1,2,1,-1,-16,-57,0,5,1,1
2,1,64,0,0,4,3,28,35,23,49,0,1,0,-1,-7,-26,0,6,0,1
2,1,66,6,3,0,0,36,29,64,24,1,0,3,1,7,40,0,0,0,1
3,5,152,1,3,1,0,74,77,102,127,1,1,-2,0,-3,-25,0,3,0,1
5,7,339,3,3,3,3,176,162,268,205,2,2,0,0,14,63,0,3,1,0
2,10,127,4,5,4,3,65,61,109,74,1,0,-1,1,4,35,0,1,0,1
3,1,103,0,0,1,0,58,44,118,33,2,0,0,2,14,85,0,6,1,1
1,4,27,2,1,3,1,15,11,27,13,0,0,1,0,4,14,0,4,1,1
2,2,101,0,1,3,0,47,53,41,72,0,1,-1,-1,-6,-31,0,5,0,1
3,7,143,3,3,3,4,81,61,164,57,2,0,0,2,20,107,1,3,1,1
2,5,90,0,4,1,3,36,53,9,96,0,1,-4,-1,-17,-87,1,2,1,1
3,2,113,0,1,1,0,46,66,16,121,0,2,-1,-2,-20,-105,0,5,1,1
3,5,189,1,3,4,3,94,94,129,138,1,1,-2,0,0,-9,0,3,0,1
2,7,88,5,1,2,1,58,29,112,1,1,0,4,1,29,111,0,1,0,1
3,3,136,2,0,3,1,63,72,52,107,0,2,2,-2,-9,-55,0,4,1,0
4,4,210,1,2,0,0,103,106,139,153,1,2,-1,-1,-3,-14,0,4,1,1
3,3,131,1,1,2,1,63,67,73,80,1,1,0,0,-4,-7,0,5,0,1
3,5,185,1,3,2,1,94,90,122,121,1,1,-2,0,4,1,0,3,0,1
1,8,46,5,2,3,1,29,16,51,3,0,0,3,0,13,48,0,1,0,0
3,9,178,5,3,3,1,89,88,119,94,1,1,2,0,1,25,0,1,1,0
1,3,19,0,2,3,3,6,12,11,36,0,0,-2,0,-6,-25,0,4,0,0
3,4,198,0,3,0,0,99,98,156,124,2,0,-3,2,1,32,0,3,1,1
1,13,75,6,6,0,0,35,39,60,72,0,0,0,0,-4,-12,0,0,1,1
1,2,11,0,1,3,1,5,5,8,4,0,0,-1,0,0,4,0,5,0,1
1,3,15,0,2,0,0,5,9,2,18,0,0,-2,0,-4,-16,0,4,1,1
3,11,211,5,5,1,2,100,110,117,152,1,1,0,0,-10,-35,0,1,0,0
3,1,138,0,0,2,1,68,69,92,104,1,1,0,0,-1,-12,0,6,0,0
2,1,100,0,0,3,3,50,49,68,70,0,1,0,-1,1,-2,0,6,1,1
4,8,223,3,4,1,3,111,111,149,141,1,2,-1,-1,0,8,1,2,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
2,10,102,5,4,3,1,58,43,111,36,1,0,1,1,15,75,0,1,0,1
2,3,74,1,1,3,0,45,28,92,15,1,0,0,1,17,77,0,5,0,1
1,4,22,1,2,2,1,9,12,3,13,0,0,-1,0,-3,-10,0,4,0,0
3,4,142,0,3,1,0,76,65,128,68,2,0,-3,2,11,60,0,3,0,0
1,2,13,0,1,3,3,5,7,4,11,0,0,-1,0,-2,-7,0,5,0,1
1,4,26,1,2,0,1,11,14,8,21,0,0,-1,0,-3,-13,0,4,0,0
2,8,106,2,5,1,0,52,53,78,66,1,0,-3,1,-1,12,0,1,1,1
1,6,49,2,3,3,2,23,25,21,26,0,0,-1,0,-2,-5,0,3,0,0
2,4,76,1,2,2,2,39,36,50,38,1,0,-1,1,3,12,0,4,0,1
1,11,59,5,5,3,2,29,29,46,49,0,0,0,0,0,-3,0,1,1,1
3,4,147,1,2,0,0,82,64,165,85,2,0,-1,2,18,80,0,4,0,0
2,10,121,4,5,0,1,61,59,103,74,1,0,-1,1,2,29,0,1,1,0
2,2,44,0,1,0,0,28,15,52,13,1,0,-1,1,13,39,0,5,0,1
2,6,82,3,2,3,1,47,34,99,33,1,0,1,1,13,66,0,3,0,0
1,4,28,1,2,3,4,11,16,8,22,0,0,-1,0,-5,-14,1,4,1,1
2,7,88,2,4,0,1,37,50,37,112,0,1,-2,-1,-13,-75,0,2,1,0
2,9,133,5,3,0,0,70,62,145,99,1,0,2,1,8,46,0,1,1,1
3,1,119,0,0,1,3,51,67,24,106,0,2,0,-2,-16,-82,1,6,0,0
2,4,78,1,2,3,3,45,32,68,17,1,0,-1,1,13,51,0,4,0,0
5,2,271,0,1,2,1,138,132,229,205,2,2,-1,0,6,24,0,5,1,1
3,9,200,3,5,1,0,90,109,101,177,0,2,-2,-2,-19,-76,0,1,0,0
1,4,21,0,3,1,0,7,13,4,23,0,0,-3,0,-6,-19,0,3,1,1
3,13,216,6,6,3,3,108,107,138,129,1,1,0,0,1,9,0,0,0,1
5,8,377,4,3,1,2,186,190,273,262,2,2,1,0,-4,11,0,2,1,0
2,8,126,3,4,0,1,59,66,95,133,0,1,-1,-1,-7,-38,0,2,0,0
1,4,32,2,1,3,3,16,15,20,3,0,0,1,0,1,17,0,4,1,0
1,7,34,2,4,1,1,14,19,18,37,0,0,-2,0,-5,-19,0,2,0,0
3,7,143,3,3,3,4,72,70,78,79,1,1,0,0,2,-1,1,3,0,1
2,3,57,2,0,0,0,24,32,18,56,0,1,2,-1,-8,-38,0,4,0,1
2,5,76,2,2,1,1,37,38,54,83,0,1,0,-1,-1,-29,0,4,0,1
2,2,79,1,0,3,3,43,35,64,21,1,0,1,1,8,43,0,5,0,1
2,9,130,3,5,3,0,59,70,62,111,0,1,-2,-1,-11,-49,0,1,1,1
3,5,168,2,2,1,1,82,85,102,119,1,1,0,0,-3,-17,0,4,1,1
2,11,135,5,5,4,3,62,72,75,115,0,1,0,-1,-10,-40,0,1,0,1
1,5,26,2,2,2,1,13,12,17,19,0,0,0,0,1,-2,0,4,1,1
2,8,123,4,3,1,1,63,59,94,71,1,0,1,1,4,23,0,2,0,0
1,6,31,3,2,1,0,16,14,31,19,0,0,1,0,2,12,0,3,0,1
5,2,248,0,1,1,0,124,123,162,152,2,2,-1,0,1,10,0,5,1,1
2,3,97,2,0,4,3,50,46,55,59,0,1,2,-1,4,-4,0,4,1,1
4,5,238,2,2,1,0,116,121,183,230,1,2,0,-1,-5,-47,0,4,1,0
2,4,93,1,2,4,3,46,46,61,40,1,0,-1,1,0,21,0,4,0,1
1,10,69,4,5,1,1,33,35,42,44,0,0,-1,0,-2,-2,0,1,0,0
3,2,106,0,1,0,0,61,44,108,9,2,0,-1,2,17,99,0,5,0,0
3,2,140,0,1,3,4,74,65,137,81,2,0,-1,2,9,56,1,5,1,1
1,11,66,5,5,0,0,35,30,26,17,0,0,0,0,5,9,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,2,17,0,1,2,0,8,8,9,10,0,0,-1,0,0,-1,0,5,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2,2,75,0,1,2,2,40,34,44,11,1,0,-1,1,6,33,0,5,0,1
1,1,2,0,0,1,0,1,0,4,0,0,0,0,0,1,4,0,6,0,1
3,13,193,6,6,6,6,90,102,122,189,0,2,0,-2,-12,-67,0,0,0,0
2,5,77,0,4,0,2,27,49,1,87,0,1,-4,-1,-22,-86,0,2,0,1
2,7,73,4,2,1,2,29,43,43,82,0,1,2,-1,-14,-39,0,2,1,1
1,7,37,3,3,0,0,17,19,32,38,0,0,0,0,-2,-6,0,3,0,1
4,9,208,4,4,0,2,98,109,135,194,1,2,0,-1,-11,-59,0,2,1,1
2,5,86,3,1,0,2,49,36,78,14,1,0,2,1,13,64,0,3,1,1
3,3,126,0,2,0,0,48,77,39,185,0,2,-2,-2,-29,-146,0,4,0,0
1,3,18,2,0,2,1,11,6,16,1,0,0,2,0,5,15,0,4,1,1
1,2,11,0,1,2,2,4,6,4,8,0,0,-1,0,-2,-4,0,5,1,1
3,5,143,2,2,3,2,83,59,153,26,2,0,0,2,24,127,0,4,1,1
1,4,29,2,1,1,1,15,13,18,9,0,0,1,0,2,9,0,4,0,1
1,4,19,1,2,0,0,8,10,7,13,0,0,-1,0,-2,-6,0,4,1,1
2,1,58,6,3,0,0,32,25,61,17,1,0,3,1,7,44,0,0,1,1
2,12,144,5,6,0,0,73,70,113,103,1,0,-1,1,3,10,0,0,1,1
2,6,91,3,2,3,0,52,38,96,29,1,0,1,1,14,67,0,3,1,1
1,11,59,5,5,0,1,31,27,50,41,0,0,0,0,4,9,0,1,1,0
1,2,7,0,1,0,1,1,5,1,17,0,0,-1,0,-4,-16,0,5,1,1
1,2,10,0,1,1,3,2,7,2,16,0,0,-1,0,-5,-14,1,5,1,1
1,8,47,2,5,1,3,18,28,4,46,0,0,-3,0,-10,-42,1,1,1,1
4,8,250,4,3,1,0,131,118,195,109,2,1,1,1,13,86,0,2,0,1
2,2,71,1,0,3,3,41,29,60,3,1,0,1,1,12,57,0,5,1,1
2,4,113,2,1,2,0,62,50,69,5,1,0,1,1,12,64,0,4,1,0
1,5,36,3,1,1,3,19,16,38,29,0,0,2,0,3,9,1,3,0,1
5,3,215,1,1,2,0,105,109,197,219,2,2,0,0,-4,-22,0,5,1,1
1,6,30,4,1,1,0,20,9,45,10,0,0,3,0,11,35,0,2,1,1
3,5,177,1,3,0,3,85,91,82,120,1,1,-2,0,-6,-38,1,3,1,1
2,2,96,0,1,2,3,43,52,44,77,0,1,-1,-1,-9,-33,1,5,0,1
2,1,48,0,0,1,1,18,29,9,70,0,1,0,-1,-11,-61,0,6,1,1
3,11,219,5,5,2,2,105,113,166,213,0,2,0,-2,-8,-47,0,1,0,1
4,4,194,0,3,0,0,98,95,151,155,2,1,-3,1,3,-4,0,3,1,1
1,5,25,3,1,3,2,16,8,39,20,0,0,2,0,8,19,0,3,0,0
2,8,110,3,4,2,0,59,50,73,30,1,0,-1,1,9,43,0,2,1,1
4,3,193,2,0,0,2,105,87,160,83,2,1,2,1,18,77,0,4,1,0
3,8,138,3,4,3,3,55,82,20,139,0,2,-1,-2,-27,-119,0,2,1,0
1,6,32,1,4,3,2,11,20,15,41,0,0,-3,0,-9,-26,0,2,0,0
3,3,131,1,1,1,0,64,66,75,101,1,1,0,0,-2,-26,0,5,1,1
3,1,103,6,2,0,0,50,52,65,58,1,1,4,0,-2,7,0,0,1,1
4,7,246,3,3,0,0,117,128,134,182,1,2,0,-1,-11,-48,0,3,0,0
2,3,54,1,1,1,0,21,32,24,71,0,1,0,-1,-11,-47,0,5,0,1
3,7,167,2,4,0,0,83,83,127,120,1,1,-2,0,0,7,0,2,0,0
1,6,40,4,1,4,3,24,15,40,4,0,0,3,0,9,36,0,2,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
4,9,273,4,4,2,3,134,138,188,210,2,1,0,1,-4,-22,1,2,0,1
2,6,96,3,2,3,3,53,42,84,28,1,0,1,1,11,56,0,3,0,1
2,4,62,2,1,1,0,39,22,78,8,1,0,1,1,17,70,0,4,1,1
3,6,151,1,4,2,0,80,70,120,65,2,0,-3,2,10,55,0,2,0,1
1,9,64,5,3,3,0,36,27,48,13,0,0,2,0,9,35,0,1,1,1
2,5,75,1,3,1,0,40,34,69,49,1,0,-2,1,6,20,0,3,0,1
2,4,77,1,2,0,1,33,43,29,77,0,1,-1,-1,-10,-48,0,4,1,1
3,6,173,3,2,0,0,92,80,152,100,1,1,1,0,12,52,0,3,1,1
3,2,140,0,1,0,0,63,76,87,139,1,1,-1,0,-13,-52,0,5,1,0
3,11,223,5,5,3,3,110,112,132,152,1,1,0,0,-2,-20,0,1,0,1
2,3,69,0,2,4,3,27,41,17,79,0,1,-2,-1,-14,-62,0,4,1,1
1,1,5,0,0,2,2,2,2,1,3,0,0,0,0,0,-2,0,6,0,1
2,5,63,3,1,0,0,29,33,22,39,0,1,2,-1,-4,-17,0,3,0,1
2,3,67,1,1,2,1,37,29,54,8,1,0,0,1,8,46,0,5,0,1
1,4,22,1,2,2,0,10,11,15,18,0,0,-1,0,-1,-3,0,4,0,0
